iteration k,v1*vk,relative residual
0,-2.68882e-17,0.999919
1,7.77481e-16,0.997982
2,4.21335e-16,0.993266
3,8.06348e-16,0.958022
4,3.12523e-14,0.718626
5,-7.14473e-15,0.264655
6,1.97982e-15,0.230802
7,1.14329e-16,0.111237
8,-1.6836e-16,0.100472
9,-1.23911e-15,0.0971426
10,7.34786e-15,0.0494149
11,-2.34262e-15,0.0452584
12,-1.48177e-14,0.0357225
13,5.3192e-15,0.0276014
14,9.90256e-16,0.025366
15,-1.9251e-15,0.0235351
16,-2.12118e-15,0.0201275
17,3.79498e-15,0.0168782
18,7.57867e-15,0.0129893
19,4.67725e-16,0.0124819
20,6.0274e-15,0.0103841
21,-1.89079e-15,0.0101983
22,-8.20388e-15,0.00991291
23,-3.56719e-15,0.00809748
24,1.95373e-15,0.00783531
25,1.37545e-14,0.00622602
26,-8.54921e-16,0.00531076
27,-2.91574e-14,0.00434208
28,-8.45956e-16,0.0042485
29,-2.56283e-15,0.00415293
30,-1.00693e-14,0.00328429
31,-1.43443e-15,0.00319277
32,-1.57748e-14,0.00289909
33,1.44542e-15,0.00260484
34,8.77012e-15,0.0024523
35,4.75463e-16,0.0021821
36,-1.13401e-15,0.00213404
37,6.0022e-15,0.00175639
38,2.42818e-15,0.00170471
39,-2.4906e-14,0.00145476
40,8.54893e-17,0.00143093
41,2.15235e-15,0.00138429
42,-2.07961e-15,0.00126892
43,2.13948e-15,0.00120505
44,-4.88333e-15,0.000882197
45,4.03215e-16,0.000759651
46,-1.26897e-14,0.000700315
47,-1.1985e-15,0.000664238
48,-9.41575e-16,0.000643075
49,-7.8101e-15,0.000555157
50,5.26787e-16,0.000538268
51,2.3473e-16,0.000441253
52,-2.34313e-15,0.000429754
53,1.81333e-15,0.000409999
54,-1.58816e-14,0.000353053
55,3.46178e-15,0.000334758
56,-4.24513e-16,0.000313001
57,-6.47687e-15,0.000307395
58,9.2226e-15,0.000277272
59,-1.99506e-15,0.000264875
60,-8.66812e-15,0.000210777
61,3.98695e-16,0.000205235
62,-5.16658e-15,0.000197409
63,4.32289e-15,0.00015603
64,-2.18802e-15,0.000149795
65,4.51931e-15,0.000126062
66,6.44238e-16,0.00012435
67,6.24187e-15,0.000112659
68,-1.8317e-15,0.000104525
69,1.55945e-14,7.88693e-05
70,1.76875e-16,6.85624e-05
71,4.1789e-15,6.63455e-05
72,-1.0242e-14,5.67663e-05
73,1.4706e-15,5.50479e-05
74,9.30321e-16,4.76323e-05
75,-1.80154e-15,4.604e-05
76,-2.30308e-15,4.36389e-05
77,3.35702e-15,3.71743e-05
78,3.31502e-16,3.55387e-05
79,-6.48198e-15,3.14312e-05
80,2.53767e-15,3.0318e-05
81,-1.87233e-14,2.70474e-05
82,1.72713e-16,2.63586e-05
83,-4.37554e-15,2.26507e-05
84,5.58803e-15,1.96105e-05
85,-4.73796e-16,1.83651e-05
86,-1.52536e-15,1.4013e-05
87,1.68322e-15,1.35301e-05
88,2.16895e-16,1.17796e-05
89,1.95384e-15,1.03272e-05
90,-1.01331e-14,9.0516e-06
91,1.40578e-15,8.21629e-06
92,1.20899e-14,7.82713e-06
93,1.99992e-15,7.07074e-06
94,-1.73039e-15,6.89814e-06
95,-2.48629e-15,5.62448e-06
96,-1.16422e-15,5.52351e-06
97,5.12532e-15,5.37033e-06
98,-4.87891e-16,4.8209e-06
99,6.66871e-15,4.11891e-06
100,-2.11181e-15,3.86606e-06
101,-9.07184e-15,3.78653e-06
102,-4.26948e-15,3.02341e-06
103,2.84842e-15,2.79056e-06
104,-1.1558e-14,2.27469e-06
105,-1.19859e-15,2.19565e-06
106,-2.31694e-15,2.11576e-06
107,-3.95842e-16,1.86846e-06
108,3.86583e-15,1.80835e-06
109,-2.88699e-15,1.57955e-06
110,-2.24975e-16,1.54341e-06
111,2.52898e-14,1.42005e-06
112,-4.92837e-15,1.34864e-06
113,-6.00685e-15,1.20948e-06
114,-1.07692e-15,1.18312e-06
115,2.8137e-15,1.16381e-06
116,1.07947e-14,1.00564e-06
117,-1.90238e-15,9.4106e-07
118,1.15182e-15,6.85358e-07
119,-3.47866e-16,6.3038e-07
120,-2.2182e-14,6.06236e-07
121,8.15523e-16,5.61932e-07
122,1.17978e-14,5.26888e-07
123,-5.77792e-15,4.78788e-07
124,2.1158e-15,4.54068e-07
125,1.39373e-14,3.85289e-07
126,2.09353e-16,3.79223e-07
127,1.68384e-15,3.65384e-07
128,-8.6457e-15,3.0975e-07
129,-1.89863e-15,2.91244e-07
130,1.44389e-15,2.6319e-07
131,-1.97318e-15,2.58214e-07
132,9.71387e-15,2.20931e-07
133,-2.23691e-15,1.97237e-07
134,1.72391e-14,1.64337e-07
135,4.0293e-16,1.53238e-07
136,-8.74915e-15,1.48576e-07
137,-4.96227e-15,1.25263e-07
138,3.13576e-15,1.20567e-07
139,-8.37289e-16,1.08444e-07
140,-3.83537e-18,1.06537e-07
141,8.63282e-16,9.90714e-08
142,2.60916e-15,7.91056e-08
143,1.4223e-14,6.94229e-08
144,-7.03986e-17,6.32037e-08
145,5.81334e-16,6.17364e-08
146,4.86989e-15,4.72669e-08
147,1.21736e-15,4.51104e-08
148,4.58095e-15,3.94199e-08
149,-1.16643e-15,3.53882e-08
150,-3.41984e-15,3.32832e-08
151,4.65556e-16,2.5456e-08
152,-2.37477e-15,2.46114e-08
153,3.2358e-16,2.34644e-08
154,7.22621e-17,2.14267e-08
155,-1.41034e-14,1.6497e-08
156,1.78503e-15,1.39893e-08
157,-1.91817e-15,1.37374e-08
158,-1.34403e-15,1.18013e-08
159,-1.4589e-15,1.09501e-08
160,2.37854e-14,8.84957e-09
161,-1.96295e-15,8.34672e-09
162,-3.03921e-15,8.22373e-09
163,-2.12562e-14,7.25227e-09
164,1.86321e-15,6.97935e-09
